Office,CensusPop,raceYear,weird,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1980,1104,General,Utah,"266,578","Wright, Bob",Challenger,"330,974","Matheson, Scott M.",Incumbent,N/A,N/A,N/A,N/A,"2,467","64,396",D,0,44.61,55.39,
Governor,N/A,1980,1104,General,Vermont,"123,229","Snelling, Richard A.",Incumbent,"77,363","Diamond, M. Jerome",Challenger,N/A,N/A,N/A,N/A,"9,789","45,866",R,0,61.43,38.57,
Governor,N/A,1980,1104,General,Washington,"981,083","Spellman, John D.",Challenger,"749,813","McDermott, James A.",Challenger,N/A,N/A,N/A,N/A,N/A,"231,270",R,0,56.68,43.32,
Governor,N/A,1980,1104,General,West Virginia,"337,240","Moore, Arch A.",Challenger,"401,863","Rockefeller, John D. IV",Incumbent,N/A,N/A,N/A,N/A,"3,047","64,623",D,0,45.63,54.37,
Governor,N/A,1981,,General,New Jersey,"1,145,999","Kean, Thomas H.",Challenger,"1,144,202","Florio, James J.",Challenger,N/A,N/A,N/A,N/A,"27,038","1,797",R,0,50.04,49.96,
Governor,N/A,1981,,General,Virginia,"659,398","Coleman, J. Marshall",Challenger,"760,384","Robb, Charles S.",Challenger,N/A,N/A,N/A,N/A,856,"100,986",D,0,46.44,53.56,
Governor,N/A,1982,1102,General,Alaska,"72,291","Fink, Tom",Challenger,"89,918","Sheffield, Bill",Challenger,N/A,N/A,N/A,N/A,"32,676","17,627",D,0,44.57,55.43,
Governor,N/A,1982,1102,General,Alabama,"440,815","Folmar, Emory",Challenger,"650,538","Wallace, George C.",Challenger,N/A,N/A,N/A,N/A,"37,372","209,723",D,0,40.39,59.61,
Governor,N/A,1982,1102,General,Arkansas,"357,496","White, Frank D.",Challenger,"431,855","Clinton, William Jefferson",Challenger,N/A,N/A,N/A,N/A,N/A,"74,359",D,0,45.29,54.71,
Governor,N/A,1982,1102,General,Arizona,"235,877","Corbet, Leo",Challenger,"453,795","Babbitt, Bruce",Incumbent,N/A,N/A,N/A,N/A,"36,692","217,918",D,0,34.2,65.8,
Governor,N/A,1982,1102,General,California,"3,881,014","Deukmejian, George",Challenger,"3,787,669","Bradley, Tom",Challenger,N/A,N/A,N/A,N/A,"207,652","93,345",R,0,50.61,49.39,
